Audit #,Comparator / Study,Evidence Type,Participants / Interaction,Primary Task / Paradigm,EEG,ECG / PPG / HR,EDA / GSR,EMG,Eye Tracking,Audio,Video,Interactive?,Decision-Making?,Confidence / Self-report,Deception / Strategic Misinfo?,Repeated / Multi-round?,Synchronization / Alignment,Public Data?,Closest ARL Overlap,Critical Difference vs Proposed ARL,Verification Status,Primary Source URL,Data / Access URL
1,AMIGOS,Dataset,40; individual + 4-person group condition,Affective video viewing; group co-viewing,Yes,ECG,Yes,No reported,No,Reported/verify release coverage,Yes,Partial social context,No,Affect/self-assessment,No,Repeated stimuli,Central PC synchronized acquisition/self-assessment,Restricted academic,Wearable EEG+ECG+GSR + group context + video,Passive co-viewing rather than interactive multi-round decision/deception; no eye tracking/EMG,Primary-source verified,https://www.eecs.qmul.ac.uk/mmv/datasets/amigos/doc/Paper_TAC.pdf,https://eecs.qmul.ac.uk/mmv/datasets/amigos/
2,MAHNOB-HCI,Dataset,27 usable; individual,Emotion elicitation + implicit multimedia tagging,Yes,ECG,Yes,No reported,Yes,Yes,Yes,No,Limited tagging decision,Arousal/valence/dominance/predictability,No,Multiple trials,Synchronized multimodal laboratory acquisition,Academic access,Dense EEG+ECG+GSR+eye+audio+video sensing,Individual stimulus-response design; no interacting group/social-deception process,Primary-source verified,https://doi.org/10.1109/T-AFFC.2011.25,https://mahnob-db.eu/
3,K-EmoCon,Dataset,32; 16 dyads,~10-min face-to-face debate,Yes,PPG + HR,Yes,No,No,Yes,Yes,Yes,Argument/position task; not repeated voting,Continuous retrospective emotion ratings,No,No,UTC-normalized timestamps; aligned/clipped to debate interval,Public/research access,Physiology + audiovisual + genuine interpersonal interaction,Dyads; emotion/debate focus; no eye tracking/EMG/group social deduction/round-wise confidence,Primary-source verified,https://www.nature.com/articles/s41597-020-00630-y,https://zenodo.org/records/3931963
4,GroupAffect-4,Dataset,40; 10 groups of 4,Hidden-profile decision + negotiation + idea generation + public-goods micro-game,No,PPG,Yes,No,Yes,Yes,Yes,Yes,Yes,SAM + questionnaires,No,Yes,Lab Streaming Layer (LSL),Public,Strongest group + structured decision + eye/audio + LSL comparator,"No EEG/ECG/EMG; 4-person collaboration, not repeated social-deception vote-confidence paradigm",Primary-source verified,https://arxiv.org/abs/2605.19765,https://zenodo.org/records/20037847
5,CogniModal-D,Dataset / study,100+; individual,Mock-crime and social-relationship truth/lie scenarios,Yes,ECG,Yes,No,Yes,Yes,Yes,No,Deception classification task,Task labels; no ARL-style decision confidence reported,Yes,Multiple scenarios,Simultaneous streams; task markers/common alignment,Access status needs final verification,Strongest broad sensing + deception comparator,Individual deception detection; no multi-person discussion/voting/belief updating; no EMG,Primary-source verified; access pending,https://www.nature.com/articles/s41598-025-92399-6,https://www.nature.com/articles/s41598-025-92399-6
6,DEAP,Dataset,32; individual,40 one-minute music-video trials,32-ch EEG,Plethysmograph,GSR,4 EMG channels,No,No,Face video for 22,No,Affective rating only,Arousal/valence/dominance/liking/familiarity,No,Yes,"Synchronized physiological acquisition; original 512 Hz, preprocessed 128 Hz",Registration,"EEG + GSR + EMG + face video, rich synchronized physiology","No interaction, eye tracking, audio, social decision-making or deception",Primary-source verified,https://eecs.qmul.ac.uk/mmv/datasets/deap/doc/tac_special_issue_2011.pdf,https://eecs.qmul.ac.uk/mmv/datasets/deap/
7,RECOLA,Dataset,46; 23 remote dyads,Collaborative survival-ranking task via video conference,No,ECG,EDA,No,No,Yes,Yes,Yes,Consensus decision after individual ranking,Self-report + continuous affect/social annotations,No,Single collaborative episode,"Audio, video, ECG and EDA recorded continuously and synchronously",Academic/public partitions,Dyadic collaboration + consensus + synchronized physiology/audio/video,No EEG/EMG/eye tracking; dyadic remote task; no deception/repeated voting,Primary-source verified,https://recola.human-ist.ch/data/emoSPACE13_RECOLA_Database.pdf,https://recola.human-ist.ch/
8,CoSuBio,Dataset,34; individual,"Confidence manipulation + decision questions, cognitive games and puzzles",Single-channel EEG,BVP,EDA,No,No,No,Limited facial video (2 participants),No,Yes,Explicit self-confidence ratings,No,Three within-subject confidence phases,"Shared timestamps, subject IDs and phase labels",Public (Mendeley Data),Best confidence-specific physiology comparator,No social interaction/group decision/deception; no ECG/EMG/eye/audio; EEG is low-rate single-channel,Primary-source verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC12955566/,https://doi.org/10.17632/skckwr7hy6.6
9,BALLADEER ADHD / A Multimodal Dataset for Neurophysiological and AI Applications,Dataset,Children/adolescents; individual,"Attention Slackline, Attention Robots, CogniFit and cognitive tasks",Yes,HR/BVP,EDA,No,Yes,No,No,No,Interactive cognitive/game choices,Performance/diagnostic metadata,No,Multiple tasks/events,"Concurrent API start/stop, shared session time base and timestamped game events",Public (Figshare),EEG + eye + EDA/HR + interactive task/event logging + custom acquisition backend,"Individual attention/ADHD tasks; no multi-person interaction, deception, audio/video or EMG",Primary-source verified,https://www.nature.com/articles/s41597-026-06758-7,https://doi.org/10.6084/m9.figshare.28676042
10,Puzzle-STAMPS,Dataset,143 released; mostly teams of 4,Time-constrained cooperative puzzle-box task across 8 timed segments,No,ECG + respiration + SpO2 + temperature,No reported,No,No,Individual speech,Five room cameras,Yes,Collaborative problem solving/team decisions,"Workload, cohesion, leadership and psychometrics",No,Yes,All released streams aligned to common puzzle-onset time=0,Research license/public release,Very strong multi-person physiology + speech + video + event/game-state comparator,No EEG/GSR/EMG/eye tracking; cooperation/leadership rather than social deception and round-wise vote-confidence,Primary-source verified,https://puzzle-stamps.is.tue.mpg.de/index.html,https://puzzle-stamps.is.tue.mpg.de/dataset-data.html
