Challenge ID,Targeted Gap,Study / Dataset,Year,Participants / Group Size,Decision / Interaction Paradigm,Neural,Cardiac,EDA/GSR,EMG,Eye Tracking,Audio,Video,Repeated / Multi-round,Confidence,Deception / Hidden Adversary,Synchronization,How Strongly It Challenges ARL,Why It Still Differs from ARL,Primary Source,Data Source,Status
GC-01,Group ≥3 + synchronized physiology + decision,"Dataset of physiological, behavioral, and self-report measures from a group decision-making lab study",2022,60; 20 groups of 3,Desert Survival Task: individual ranking followed by face-to-face group consensus ranking,No,ECG + respiration,EDA,No,No,Behavioral interaction/audio referenced in related study,Multi-angle video,Single group decision episode,No,No,All three participants' physiology recorded simultaneously and in synchrony with video; MindWare 500 Hz,Very strong,"No EEG, EMG, eye tracking; no repeated rounds, confidence, or deception",https://doi.org/10.1016/j.dib.2022.108630,https://data.mendeley.com/datasets/w8h752hbw5/4,New direct comparator
GC-02,Group ≥3 + EEG + repeated interaction + deception + LSL,Analysis of inter-brain synchrony in group-based electroencephalography to assess task-dependent interactions,2026,36; groups of 3,Cooperative card game ('The Mind') with repeated rounds; one hidden adversary secretly sabotages half the cooperative rounds in Experiment 2,24-ch EEG per participant,No,No,No,No,No verbal communication allowed,Gameplay-area video,Yes; 4–6 cooperative rounds per block,No,Yes — hidden adversary,Three EEG systems + keyboard event markers + camera synchronized through LSL over WLAN,Extremely strong — closest gap challenger found,No ECG/EDA/EMG/eye tracking/audio; no explicit confidence; task forbids verbal interaction; group size 3 not 5,https://doi.org/10.3389/fnrgo.2026.1774423,,New top-tier comparator
GC-03,Group ≥3 + EEG + group decision + video,Be Creative to Innovate! EEG Correlates of Group Decision-Making in Managers,2024,Participants assigned to triplets,Realistic Complex Problem Task; individual selection then 10-min group negotiation to consensus,Muse 2 EEG,No,No,No,No,Discussion,Video,Individual + one group phase,Creativity/self-report; no decision confidence,No,EEG recorded continuously; video during task,Strong,"EEG-only physiology; no peripheral physiology, eye tracking, deception, repeated rounds or confidence",https://doi.org/10.3390/su16052175,,New comparator
GC-04,Group ≥3 + eye tracking + group decision,Cognitive factors on the performance of group decision-making: a behavioral and eye-tracking study,2025,72; 24 groups of 3,Multi-attribute decision-making task with individual and group decision phases,No,No,No,No,EyeLogic 60 Hz,Screen recording with audio,Screen recording,Multiple alternatives/decision phases,Decision satisfaction and cognitive factors; no trial confidence,No,Experiment Center software synchronized decision-process recording and eye tracking,Strong modality-specific challenge,No physiology/neural signals beyond gaze; no deception; eye tracking is workstation-based,https://doi.org/10.3389/fnhum.2025.1551447,,New comparator
GC-05,Group size 5 + physiology + strategic influence + consensus,Influencing the physiology and decisions of groups: Physiological linkage during group decision-making,2021,Groups of 5,Consensus choice of one of five firms; high- and low-status members secretly instructed to advocate different firms,No,Cardiac interbeat interval,No,No,No,Natural discussion,Not central/release unclear,Single consensus task,No,Strategic hidden instruction / persuasion (not role deception),Cardiac activity recorded continuously from all five participants,Very strong conceptual challenge,Only cardiac physiology; no EEG/EDA/EMG/eye/audio-video dataset; no repeated rounds or confidence,https://doi.org/10.1177/1368430219890909,,New top-tier comparator
GC-06,Group ≥3 + EEG + audio,EEG hyperscanning data of 13 groups of three people engaging in different types of conversations,2026,13 groups of 3,Three elicited conversation types,32-ch EEG ×3,No,No,No,No,3 directional + 1 omnidirectional microphones,No,12 trial segments per experiment release,No,No,"EEG/audio trial alignment in released HDF5; raw EEG 2500 Hz, resampled to 100 Hz; audio 44.1 kHz",Strong sensing/interaction challenge,"No decision-making, deception, confidence, peripheral physiology, eye tracking or video",https://zenodo.org/records/21643064,https://zenodo.org/records/21643064,New comparator
GC-07,Group ≥3 + EDA + group decision rules,An Experimental Physiological Approach to Group Decision Making: Consensus Rule vs Majority Rule,2012,Three-person groups; preliminary extension to 5,Group problem solving under majority vs consensus decision rules,No,No,EDA/GSR,No,No,Utterance counts,No,Discussion task,Self-reports collected,No,Physiological and behavioral task recording,Moderate,"EDA only; limited multimodality; older study; no EEG/eye/audio-video capture, confidence or deception",https://doi.org/10.1016/j.protcy.2012.09.052,,New comparator
GC-08,Group ≥3 + confidence + collective decision,Action-based confidence sharing and collective decision making,2024,"Groups of 2, 3, and 4",Movement-based consensus decisions under uncertainty,No,No,No,No,No,No,Movement trajectories,Yes,Explicit confidence (1–4),No,Shared trial timing / movement trajectory recording,Strong behavioral challenge,"No neural/peripheral physiology, audio/video discussion, deception or multimodal sensor stack",https://doi.org/10.1016/j.isci.2024.111006,,Already in 50 audit; gap-confirming
GC-09,Deception + multimodal physiology + AV,MuDD: A Multimodal Deception Detection Dataset,2026,130; individual,Deception detection / concealed-digit identification,No,PPG + heart rate,GSR,No,No,Audio,Video,Multiple deception samples,Personality traits; no decision confidence,Yes,Multimodal synchronized dataset (paper-level description; exact alignment to verify),Strong deception-sensing challenge,Individual rather than interactive group; no EEG/ECG/EMG/eye tracking; no group decisions/confidence,https://arxiv.org/abs/2603.26064,,New comparator
GC-10,Triadic EEG cooperation/competition + repeated trials,Unlocking interbrain neural signatures differences during triadic cooperation and competition: Evidence from EEG hyperscanning,2026,Groups of 3,Cooperation vs competition task; two blocks of 20 trials with trial outcome/score feedback,EEG hyperscanning,No,No,No,No,No,No,Yes; 40 trials per condition structure,No,"Competition, not hidden deception",Simultaneous EEG hyperscanning with trial timing,Strong,"No peripheral physiology/eye/audio/video, confidence, or hidden-role deception",https://doi.org/10.1016/j.neuroimage.2026.121865,,New comparator
