Record ID,Evidence Relevance Tier,Primary Category,Record Type,Title / Dataset,Year,Primary Authors / Source,Institution / Dataset Owner,Modalities / Signals,Interaction Level,Task / Paradigm,Access Status,Dataset / Access URL,Paper / Reference URL,Evidence Role,Relevance to Synchronized Decision-Making,Key Difference vs Proposed ARL Dataset,Priority,Verification Status,Reading Status,Discovery Method,Systematic Review Eligibility,Exclusion Reason,Notes,Source Verified Date
MDMER-0001,Tier 1,Core multimodal datasets,Dataset paper,"AMIGOS: A Dataset for Affect, Personality and Mood Research on Individuals and Groups",2017,Miranda-Correa et al.,,EEG; ECG; GSR; frontal HD video; RGB/depth video,Individual + groups,Affective video viewing,Registration/public academic,http://www.eecs.qmul.ac.uk/mmv/datasets/amigos/download.html,https://arxiv.org/abs/1702.02510,Direct comparator,Closest prior dataset combining wearable physiology with group context.,"No eye tracking, EMG, individual microphones, social deduction, voting, confidence, or reasoning rounds.",Must read,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Download/request access,
MDMER-0002,Tier 1,Core multimodal datasets,Dataset paper,MAHNOB-HCI: A Multimodal Database for Affect Recognition and Implicit Tagging,2011,Soleymani et al.,,EEG; ECG; GSR; eye gaze; audio; video,Individual,Affective stimuli / implicit tagging,Registration,https://mahnob-db.eu/hci-tagging/,https://ieeexplore.ieee.org/document/5975141/,Direct comparator,Classic multimodal physiology + audiovisual benchmark.,Single participant; no group interaction or decision-making.,Must read,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Use for acquisition and metadata comparison,
MDMER-0003,Tier 1,Core multimodal datasets,Dataset paper,K-EmoCon: A Multimodal Sensor Dataset for Continuous Emotion Recognition in Naturalistic Conversations,2020,Park et al.,,EEG; PPG; EDA/GSR; HR; audio; video; annotations,Dyads,Paired debate / natural conversation,Public,https://zenodo.org/records/3762962,https://www.nature.com/articles/s41597-020-00630-y,Direct comparator,Naturalistic interaction with EEG and peripheral physiology.,Only dyads; emotion focus; no deception/game structure or voting.,Must read,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Very useful for annotation design,
MDMER-0004,Tier 1,Core multimodal datasets,Dataset paper,DEAP: A Database for Emotion Analysis using Physiological Signals,2012,Koelstra et al.,,EEG; EMG; EOG; GSR; respiration; skin temperature; face video,Individual,Music video emotion elicitation,Registration,https://www.eecs.qmul.ac.uk/mmv/datasets/deap/download.html,https://research.utwente.nl/en/publications/deap-a-database-for-emotion-analysis-using-physiological-signals/,Direct comparator,Canonical multimodal physiological benchmark.,Individual passive viewing; no social interaction or real-time group task.,Must read,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Expected citation in affective computing,
MDMER-0005,Tier 1,Core multimodal datasets,Dataset paper,GroupAffect-4: A Multimodal Dataset of Four-Person Collaborative Interaction,2026,Jamshidi Seikavandi et al.,,Wrist physiology; eye-tracking glasses; close-talk microphones; self-report; task outcomes,Four-person groups,Hidden-profile decision; negotiation; idea generation; public-goods game,Public,https://zenodo.org/records/20037847,https://arxiv.org/abs/2605.19765,Direct comparator,Closest modern comparison for ARL group interaction and LSL-style synchronized multimodal collection.,No EEG/EMG; not social deduction; four-person not five-person.,Must read,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Highest priority after ARL protocol,
MDMER-0006,Tier 1,Social affect / dyadic datasets,Dataset paper,RECOLA: Remote Collaborative and Affective Interactions,2013,Ringeval et al.,,Audio; video; ECG; EDA,Dyads,Remote collaborative task,Academic access,https://recola.human-ist.ch/,https://recola.human-ist.ch/data/emoSPACE13_RECOLA_Database.pdf,Social/Group Comparator,Strong example of synchronized affective dyadic interaction.,No EEG/eye tracking/EMG; dyadic remote collaboration.,High,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Useful for continuous annotation and sync,
MDMER-0007,Tier 1,Social interaction datasets,Dataset paper,SEWA DB: Audio-Visual Emotion and Sentiment Research in the Wild,2021,Kossaifi et al.,,Audio; video; facial landmarks; action units; vocal cues,Dyads,Natural web-based conversations,Research access,http://db.sewaproject.eu/,https://pubmed.ncbi.nlm.nih.gov/31581074/,Social/Group Comparator,Useful for in-the-wild audiovisual affect and dyadic interaction.,No physiology; not group decision making.,High,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Relevant to audio/video annotation,
MDMER-0008,Tier 1,Meeting / group interaction,Dataset paper,AMI Meeting Corpus,2005,Carletta et al.,,Individual and room microphones; video; projector; whiteboard; transcripts,Groups,Scenario-driven and natural meetings,Public/research,https://groups.inf.ed.ac.uk/ami/corpus/,https://link.springer.com/chapter/10.1007/11677482_3,Background Evidence,Foundational multimodal group interaction dataset.,No physiology; meeting task not deception or uncertainty voting.,High,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Useful for mic/camera setup comparison,
MDMER-0009,Tier 1,Eye tracking + EEG,Dataset paper,EEGEyeNet: Simultaneous EEG and Eye-tracking Dataset and Benchmark,2021,Kastrati et al.,,EEG; eye tracking,Individual,Eye movement prediction paradigms,Public,https://github.com/ardkastrati/EEGEyeNet,https://arxiv.org/abs/2111.05100,Modality Comparator,Important EEG-eye tracking synchronization and benchmark reference.,No physiology beyond EEG; no interaction or decisions.,High,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Useful for EyeLogic + EEG preprocessing,
MDMER-0010,Tier 1,Synchronization platform,Platform paper,The Lab Streaming Layer for Synchronized Multimodal Recording,2025,Kothe et al.,,Software framework for multimodal time synchronization,Any,Synchronized recording framework,Open source,https://labstreaminglayer.org/,https://direct.mit.edu/imag/article/doi/10.1162/IMAG.a.136/132678/The-lab-streaming-layer-for-synchronized,Synchronization Comparator,Core technical citation for ARL acquisition architecture.,Not a dataset; supports infrastructure rather than task design.,Must read,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Must cite in ARL platform section,
